variant,scenario,trials,ready_by_t2_pct,ready_by_t3_pct,ready_by_t4_pct,delta_t2_pp_vs_baseline,delta_t3_pp_vs_baseline,delta_t4_pp_vs_baseline
"turbo/-Mawile,-Guzma+QuickBall,+Arven","strict-jit-turn2-item-lock/go-second",25000,0,2.4,4.636,0,0.16,0.268
"turbo/-Mawile,-Tate+UltraBall,+Crispin","strict-jit/go-first",25000,0.956,8.884,17.528,0.24,1.732,2.104
"turbo/-Mawile,-Tate+UltraBall,+Crispin","strict-jit/go-second",25000,5.736,15.56,23.264,0.224,1.952,2.576
"turbo/-Mawile,-Tate+UltraBall,+Crispin","matchup-flex-jit/go-first",25000,1.592,12.344,23.908,0.496,1.624,1.604
"turbo/-Mawile,-Tate+UltraBall,+Crispin","strict-jit-turn2-item-lock/go-second",25000,0,2.556,4.732,0,0.316,0.364
"realism/-Tate+Burnet","strict-jit/go-first",25000,0.588,6.94,14.348,-0.128,-0.212,-1.076
"realism/-Tate+Burnet","strict-jit/go-second",25000,5.196,14.248,21.312,-0.316,0.64,0.624
"realism/-Tate+Burnet","matchup-flex-jit/go-first",25000,1.068,10.704,21.468,-0.028,-0.016,-0.836
"realism/-Tate+Burnet","strict-jit-turn2-item-lock/go-second",25000,0,3.464,6.092,0,1.224,1.724
"realism/-Mawile+Burnet","strict-jit/go-first",25000,0.628,7.876,16.652,-0.088,0.724,1.228
"realism/-Mawile+Burnet","strict-jit/go-second",25000,5.756,15.08,23.06,0.244,1.472,2.372
"realism/-Mawile+Burnet","matchup-flex-jit/go-first",25000,1.104,11.388,24.1,0.008,0.668,1.796
"realism/-Mawile+Burnet","strict-jit-turn2-item-lock/go-second",25000,0,3.804,6.748,0,1.564,2.38
"realism/-Tate+EarthenVessel","strict-jit/go-first",25000,0.66,7.644,15.476,-0.056,0.492,0.052
"realism/-Tate+EarthenVessel","strict-jit/go-second",25000,5.576,14.164,20.5,0.064,0.556,-0.188
"realism/-Tate+EarthenVessel","matchup-flex-jit/go-first",25000,1.268,11.284,21.864,0.172,0.564,-0.44
"realism/-Tate+EarthenVessel","strict-jit-turn2-item-lock/go-second",25000,0,2.296,4.024,0,0.056,-0.344
"realism/-Mawile+Serena","strict-jit/go-first",25000,0.632,8.052,17.072,-0.084,0.9,1.648
"realism/-Mawile+Serena","strict-jit/go-second",25000,5.396,14.932,23,-0.116,1.324,2.312
"realism/-Mawile+Serena","matchup-flex-jit/go-first",25000,1.112,11.744,24.788,0.016,1.024,2.484
"realism/-Mawile+Serena","strict-jit-turn2-item-lock/go-second",25000,0,3.172,5.968,0,0.932,1.6
"realism/-Mawile,-Tate+Burnet,+Arven","strict-jit/go-first",25000,0.684,8.652,17.988,-0.032,1.5,2.564
"realism/-Mawile,-Tate+Burnet,+Arven","strict-jit/go-second",25000,5.556,15.232,23.284,0.044,1.624,2.596
"realism/-Mawile,-Tate+Burnet,+Arven","matchup-flex-jit/go-first",25000,1.064,12.28,24.464,-0.032,1.56,2.16
"realism/-Mawile,-Tate+Burnet,+Arven","strict-jit-turn2-item-lock/go-second",25000,0,3.72,6.052,0,1.48,1.684
"realism/-Mawile,-Tate+Burnet,+EarthenVessel","strict-jit/go-first",25000,0.704,8.284,16.856,-0.012,1.132,1.432
"realism/-Mawile,-Tate+Burnet,+EarthenVessel","strict-jit/go-second",25000,5.62,15.64,23.232,0.108,2.032,2.544
"realism/-Mawile,-Tate+Burnet,+EarthenVessel","matchup-flex-jit/go-first",25000,1.28,12.18,23.816,0.184,1.46,1.512
"realism/-Mawile,-Tate+Burnet,+EarthenVessel","strict-jit-turn2-item-lock/go-second",25000,0,4.084,6.596,0,1.844,2.228
